英単語,訳,発音,解説,用例,用例・訳
abolish,【動/他】廃止する,əˈbɑlɪʃ,"〈制度・習慣・規則など〉'を'廃止する,やめる",Slavery has been abolished in most parts of the world.,奴隷制度は世界のほとんどの地域で廃止されている。
absorb,吸収する,əbˈzɔrb,"〈液体〉'を'『吸収する』,吸い込む 
〈光・音・熱・エネルギーなど〉'を'吸収する 
〈思想など〉'を'取り入れる 
〈国・町・村など〉'を'併合する;(…に)…'を'併合する《+『名』+『into』+『名』》 
〈心・注意・時間〉'を'『すっかり奪う』",I tried to absorb as much of local culture as possible.,僕は出来るだけ多くその地方の文化を吸収しようとつとめた。
absorption,【名/U】吸収；合併；夢中になること,əbˈzɔrpʃən,"吸収,併合 
(…に)夢中になること,専心すること《+『in』+『名』》",This paper has very good absorption.,この紙は吸収力が高い。
accelerate,加速する；促進する,ækˈsɛləˌreɪt,"…‘の'速度を速める,加速する 
〈ある状態〉'を'早く起こさせる 
速くなる,速度を増す","Suddenly, he accelerated the car.",突然彼は車の速度を上げた。
acceptance,受け入れ,ækˈsɛptəns,"〈U〉受け取ること,認めること,受け入れられていること;同意 
〈U〉(手形の)引受け;〈C〉引受済み手形",torn jeans received no acceptance at the country club,例のカントリークラブは、破れたジーンズでは入れない
accessible,入手できる；行ける；気さくな,ækˈsɛsəbəl,"(またget-at-able)近づきやすい,入りやすい,達しうる 
《補語にのみ用いて》(感情などに)動かされやすい,(…の)影響を受けやすい《+『to』+『名』》",She is readily accessible to flattery.,彼女はすぐにお世辞に乗りやすい。
accommodate,収容できる；適応する,əˈkɑməˌdeɪt,"(必要なものを)〈人〉‘に'『便宜をはかる』,用だてる《+『名』〈人〉+『with』+『名』》 
〈人〉'を'『宿泊させる』,収容する 
(…に)…'を'『適応させる』,順応させる《+『名』+『to』+『名』》 
〈争いなど〉'を'調停する","The canal can accommodate ships as large as 150,000 dead weight tons.",その運河は１５０、０００重量トンの大きさの船を収容できる。
accomplishment,完成,əˈkɑmplɪʃmənt,"〈U〉完成,成就(じょうじゅ) 
〈C〉業績 
《複数形で》教養,たしなみ,才芸",the tragicomic disparity...between's man's aspirations and his accomplishments- B.R.Redman,悲喜劇的な不一致...男性の大志と彼の達成の間にある−B.R.レッドマン
accordance,一致,əˈkɔrdəns,"一致,調和,適合",They built the ship in accordance with the plans.,彼らは設計図どおりに船を作った。
accordingly,それに応じて,əˈkɔrdɪŋli,"『従って』,それだから,それゆえ(therefore) 
『それに応じて』,適宜に",You must judge the situation and act accordingly.,状況を判断してそれに応じて行動しなければならない。
accountability,"【名/U】説明責任,報告義務；責任のあること",əˈkaʊntəbɪlɪti,"【名/U】説明責任,報告義務；責任のあること
","Those abroad also did not keep their words and could not question the government's accountability.
","しかし、海外視察組も約束を大きく反故にしたため、留守政府の責任は問われないことになった。
"
accountable,【形】説明のつく；説明できる；（説明する）責任がある,əˈkaʊntəbəl,"(物事が)説明のつく 
《補語にのみ用いて》(…について)説明できる,責任を持てる《+『for』+『名』》",He is accountable to the management for what he does.,彼は経営陣に対して、彼が何をするのか説明する責任がある。
accountant,会計士,əˈkaʊntənt,"会計係,会計士,計理士",The accountant would not concede the mistake.,会計士は間違いを認めようとしなかった。
accrual,【名/U/C】発生；増加；付加利子,əˈkruəl,"【名/U/C】発生；増加；付加利子
《会計》発生主義","SMART ICOCA, in addition to the functions of the ordinary ICOCA, has other functions such as cashless recharging and point accrual by using trains.
","SMARTICOCAは、ICOCAの機能に加えてキャッシュレスでチャージができるようになり、さらに鉄道の利用などでポイントがたまる機能も持つ。
"
accrue,（利益・権利などが）増加する；生じる,əˈkru,"《文》(自然の結果として)生じる,発生する;〈利子が〉つく",Benefits accrue to the community from reconstruction.,再開発によって地域に便益が生ずる。
accumulate,"【動/他】を蓄積する,ためる【自】蓄積する,たまる",əˈkjumjəˌleɪt,"…'を'『蓄積する』,ためる 
『たまる』,ふえる",He accumulated his library.,彼は蔵書をふやした。
accumulation,"【名/U】蓄積,積み重ね；利殖【C】蓄積物,たまった物",əˌkjumjəˈleɪʃən,"〈U〉蓄積すること,ためること 
〈C〉蓄積した物","for the accumulation of snow, by blocking the wheels of the cars, would certainly have been fatal to Mr. Fogg's tour.
","雪 が 積もっ て 車輪 が 動か なく なれ ば 、 フォッグ 氏 の 旅行 は 必ず 失敗 に 終わる から だ 。
"
accuracy,正確さ,ˈækjərəsi,"『正確さ』,精密",He guessed the answers with great accuracy.,彼は実に正確に答えを当てた。
accurately,"【副】正確に,精密に",ˈækjərətli,"正確に,精密に,綿密に",I don't remember my father's face accurately.,僕は父の顔を正確には覚えていない。
accusation,告訴,ˌækjəˈzeɪʃən,"〈C〉〈U〉(…を)告発(告訴,非難)すること《+『of』+『名』》,告発(非難)されること 
〈C〉(…の)罪状;…罪《+『of』+『名』》",What's the accusation against him?,彼を告訴する理由は何ですか。
acid,酸,ˈæsəd,"酸性の 
酸味のある,すっぱい(sour) 
(言葉・態度などが)厳しい,しんらつな 
酸 
すっぱいもの 
《俗》=LSD",Alkalis neutralize acids.,アルカリは酸を中和する。
acre,"エーカー； 土地, 所有地",ˈeɪkər,"『エーカー』(面積の単位;約4,047平方メートル) 
《複数形で》田畑,土地",They sell land by the acre.,土地はエーカー単位で売っています。
