英単語,訳,発音,英語の意味,解説,用例,用例・訳
afterward,その後,ˈæftərwərd,happening after something else happened,"『あとで』,以後,その後",I felt very light on my feet afterwards.,終わったあとも足が軽い感じがしました。
amongst,【前】～の間に；～の中の,əˈmʌŋst,in or through a group,=among,I don't like families that quarrel amongst themselves.,お互いに言い争いをする家族は嫌いです。
artistic,芸術的な,ɑrˈtɪstɪk,"Being able to paint, write music, etc.; creative","『芸術的な』 
芸術(美術)の;芸術家(美術家)の 
美的感受性に富む,美のわかる",He turned his artistic gifts to good account by becoming a painter.,彼は画家になって芸術的な天分を生かした。
backward,後ろへ,ˈbækwərd,toward what is behind you,"《名詞の前にのみ用いて》(方向が)『後方への』,もとへの 
《名詞の前にのみ用いて》『逆の』,反対からの 
進歩(発達)が遅れている 
(性格が)内気な(shy),隠っ込み祉案の 
『後方へ』,後ろ向きに 
(方向・順序・時間が)『逆に』,反対に",She is backward in expressing her opinion.,彼女は自分の意見をなかなか言おうとしない。
bodily,身体の,ˈbɑdəli,"physically, as when lifting someone","『身体上の』,肉体上の 
みずから,自身で(in person) 
体ごとそっくり","While you are asleep, the bodily functions slow down and body temperature falls.",寝ている間は、体の機能は不活発になり、体温は下がる。
carrier,運送業；航空会社；電話会社,ˈkæriər,"a company, usually an airline, that carries things","『運搬する人』;輸送業者(会社) 
運搬する物,運客車;運客設備 
(…の)媒介体,保菌者《+『of』+『名』》 
(また『aircraft carrier』)航空母艦 
(自転車・車の)荷台","Written words, carrier pigeons, the telegraph, and many other devices carried ideas faster and faster from man to man.",文字、伝書鳩、電信、その他多くの方法で、情報はますます速く人から人へと伝えられるようになった。
collective,収集された； 集団の,kəˈlɛktɪv,formed by working together as a group,"集めた,収集された;畜積された,集積した 
総合した,合わせた;集団の,団体の,共同の 
=collective noun 
集産主義組織(事業)","Painting simply is in no position to present an object for simultaneous collective experience, as it was possible for architecture at all times, for the epic poem in the past, and for the movie today. 
","建築 が 、 過去 の 叙事詩 が 、 そして 、 今日 の 映画 が 、 いつも 可能 し て き た やり方 で は 、 集団 によって 、 絵画 は 鑑賞 さ れ にくい と いう こと が 単純 に 言える 。
"
computation,計算,ˌkɑmpjəˈteɪʃən,the act of calculating; method of computing,計算;〈C〉(その結果出た)算定額,"It was about the last day of our outward voyage by the largest computation;
","多め に 見積もっ て も どうやら 外海 を 航海 する 最後 の 日 で 、
"
continuity,継続性,ˌkɑntəˈnuəti,continued existence; fact of not stopping,"【名/U】連続,断続,一貫性
（映画・ラジオ・テレビの）コンテ,撮影用台本,録音用台本
【名/C】コンテに書かれた個々の指示","Believing as I do in the continuity of Nature, I cannot stop abruptly where our microscopes cease to be of use.
","自然 の 連続 性 を 信じ て いる かぎり 、 私 は 顕微鏡 が 使え なく なる ところ で 、 突然 止める こと など でき ませ ん 。
"
definite,明確な；限定的な,ˈdɛfənət,Not likely to change; clearly decided,"『一定の』,(明確に)限定された 
『明確な』,確実な,すでに確定した",Give me a definite answer.,明確な返事が欲しい。
