英単語,訳,発音,英語の意味,解説,用例,用例・訳
ability,能力,əˈbɪləti,"The power, money, or skill to do something","〈U〉『能力』,力量 
《複数形で》特殊な才能,優れた手腕","By the by, this ability to will fire into existence is apparently called pyrokinesis.",余談だが、この念発火能力のことをパイロキネシスというらしい。
able,〜することができる,ˈeɪbəl,Having the ability to do something,"《補語にのみ用いて》《『be able to』 do》(…することが)『できる』 
『有能な』,腕ききの,並々ならない",Contact lenses are more able to correct strong astigmatism.,強い乱視はコンタクトレンズのほうが矯正できます。
about,～について,əˈbaʊt,of (a subject); concerning,"…『について』,に関して 
《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) 
《おもに英》(また,おもに《米》『around』)…『のあちこちに(で,を)』,に点々と 
《おもに英》(また,おもに《米》『around』)…のあたりに(を),の近くに(near) 
…『の身の回りに』,を手もとに 
…の身辺に,のどこかに 
…に従事して,にかかわって 
(また《話》『around』)《時を表す名詞を伴って》だいたい…ころ(に) 
(また《米》『around』)『周囲に』 
《おもに英》(また,おもに《米》『around』)『あちこちに』,点々と 
《おもに英》(また,おもに《米》『around』)あたりに 
《しばしば数詞と共に用いて》『およそ』,約 
(また,おもに《米》『around』)ぐるっと回って,反対の位置(方向)に 
順番に,交互に 
《be動詞の後で》(病気・うわさが)広まって;(人の病気がよくなり)元気に動き回って;(ショーなどが)行われて",About how much does it cost to have a dentist remove cigarette tar from your teeth?,歯医者で歯についたたばこのヤニを取ってもらうと、費用はどれくらいかかるでしょう？
above,〜の上に,əˈbʌv,In a higher place than something else,"《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ 
《場所・位置》…『の上に』,の上方に,さらに高いところに(の) 
…『の上流に(で)』,の上手(かみて)に,の北方に,のもっと先(遠く)に 
《数・量・程度》…『以上に』,にまさって 
《be動詞と結びついて》…『の力の及ばない』,を越えて(beyond) 
『上方に(を)』;頭上に高く;上流に 
天に,空に 
(特に地位において)高位に 
(本・ページの)『前に』,前文に 
前述の,上述の 
前述(上述)のこと",Excuse me; allow me to point out three errors in the above article.,失礼だが、上記の記事にある３つの誤りを指摘しておきたい。
absolute,絶対的な；完全な,ˈæbsəˌlut,Complete and total,"『まったくの』,完全な(complete) 
『絶対的な力を持った』,絶対の 
確かな,確固とした(certain) 
無条件の,制約のない 
(文法で)独立の,単独の",An insulated soft-wood room and a good heater are the absolute necessities for a sauna.,軟木の絶縁された部屋およびよいヒーターはサウナのための絶対必要である。
absolutely,完全に,ˌæbsəˈlutli,completely; totally; very,"『絶対的に』,完全に 
無条件に,断然 
《話》(返事や合いの手として)そのとおり,まったく",Men are absolutely not allowed to post or reply to articles.,男性からの投稿や記事へのレスは一切お断りしております。
accept,受け入れる；受け取る,ækˈsɛpt,to agree to receive or take something offered,"(喜んで)〈物〉'を'『受け取る』,〈事〉'を'受け入れる 
〈提案・決定など〉'を'受諾する,〈事態・運命など〉に従う;(特に)…‘に'しかたなく同意する 
〈弁解・説明・理論など〉'を'『認める』,容認する 
〈責任・任務など〉'を'『引き受ける』 
〈人〉'を'受け入れる,仲間(身内)に入れる 
〈手形〉'を'引き受ける",Please accept this little gift.,つまらないものですがご笑納ください。
acceptable,許容できる,ækˈsɛptəbəl,Satisfactory; good enough,"受け入れられる,認められる;人に喜ばれる",It is sometimes acceptable to resort to violence.,場合によっては腕力に訴えてもよい。
account,【名/C】口座；報告；理論；会計記録；つけ；取引【動/自】〖for A〗Aを占める；Aを説明する,əˈkaʊnt,arrangement with a bank to keep your money for you,"〈C〉『計算』,勘定 
〈C〉『計算書』,勘定書;簿記 
〈C〉(商売の)取引;(銀行の)口座 
〈C〉『説明』,報告;記事 
《文》〈U〉価値(value),重要性(importance) 
〈U〉根拠;理由 
《『account』+『名』〈目〉+『形』(『名』,『過分』)〈補〉》(…と)…'を'考える,みなす(consider)","An average American child, by all accounts, falls in love with TV.",普通のアメリカ人の子供は、どう見てもテレビのとりこなのである。
across,横切って；交差して,əˈkrɔs,From one side to the other of something,"《come,go,swimなどの移動を表す動詞と共に》 
(川・道路など幅があって長いもの)『を横断して』 
(線など比較的幅のない長いもの)『を越えて』 
《be動詞や状態を表す動詞と共に,1における移動後の位置や状態を表して》…『の向こう側に』 
…『と交差する形で』,と交差するように 
『横断して』;越えて 
向こう側に 
《文》『交差して』 
(通例幅のある長いものの)『さし渡し』…,幅…","The road across the mountain was narrow, and what's more, it was a steep slope.",山越えの道は狭く、しかも急勾配だった。
act,行動する,ækt,To behave in a certain way,"『行い』,『行為』 
《しばしばA-》法令,条令 
《しばしばA-》(芝居の1つの)『幕』;(演芸などの)出し物の一つ 
(見せかけの)お芝居,演技 
『行動する』,行う 
《様態を表す副詞[句]を伴って》わざとふるまう,見せかける 
〈人・物が〉(…として)動く,役割をはたす《+『as』+『名』》 
〈薬が〉『作用する』,きく 
舞台に立つ,出演する 
〈…の役〉'を'『演ずる』;〈劇〉'を'上演する 
…‘に'ふさわしくふるまう 
…‘に'見せかける,‘の'ふりをする",The president urged employees to act on their initiative.,社長が社員の主体的な取り組みを促した。
action,行動,ˈækʃən,Something that a person or thing does,"〈U〉『行動』,活動;精力的な活動 
〈C〉『行為』,行い;《複数形で》『日常の行動』,ふるまい 
〈U〉〈C〉(人間・馬などの)身ぶり,動作,所作 
〈U〉(身体諸器官の)働き 
〈U〉(機械などの)『働き』,機能;(薬・化学薬品などの)『作用』 
〈U〉〈C〉戦闘(battle) 
〈C〉(銃・ピアノなどの)アクション,作動装置 
〈C〉訴訟 
〈U〉(劇・物語の)本筋,筋の運び",My daughter's slowness to take action is a pain.,私の娘は尻が重いので困る。
actual,実際の,ˈækʧuəl,"Real or existing in fact, not imagined; real","『現実の』,実際上の(real) 
現在の,現存の","Even after being approved, difficulties might arise in the actual construction of the line.",彼らの案が通過しても、路線の建設を実際に始めてから様々な困難が出てくるであろう。
actually,実際は,ˈækʧuəli,used to add new (often different) information,"(まさかと思うだろうが)『実際に』,現に,ほんとうに","Having failed my mock examinations any number of times, when I actually tried taking it the result was nothing I'd imagined.",模擬試験に何回も失敗して、実際に受けてみたら思わぬ結果が出た。
add,加える,æd,"To put two things or numbers together, e.g. 2+2","1〈二つ以上のもの〉'を'『合計する』《+『名』+『up』(『together』),+『up』(『together』)+『名』》 
(…に)…'を'『加える』,足す,付け足す《+『名』+『to』(『and』)+『名』》 
《『add』+『that』『節』》…‘と'つけ加える 
足し算をする,加える","It also has a strong flavour, and adds depth to Chinese food such as soups and stir-fries.",味も濃厚で、炒め物、スープなど中華の料理に深みを与えます。
addition,【名/U】付け加えること；追加；足し算【名/C】加えられた物,əˈdɪʃən,Fact of adding something; thing that is added,"〈U〉(…を…に)『付け加えること』,追加《+『of』+『名』+『to』+『名』》 
〈U〉加法,足し算 
〈C〉(…に)加えられた物,足した物,《米》(家の)建て増し部分《+『to』+『名』》","In addition to PCs, it can be used with cell phones.",パソコンに加え、携帯電話での利用が可能です。
additional,追加の,əˈdɪʃənəl,Further or added,"『付け加えた』,追加の;特別の",Non-members pay an additional 50 dollars.,非会員は50ドル増しとなります。
address,"【名/U】宛名,住所 / 演説【名/U】話しぶり / 手際の良さ【動/他】に宛てて手紙を出す/ に話しかける /に演説する",ˈæˌdrɛs,exact street location of a place,"〈C〉『あて名』,住所 
〈C〉『演説』;(口頭・文書による)あいさつの言葉(speech) 
《文》〈U〉話しぶり,応対のしかた 
〈U〉(物事を扱う)手ぎわのよさ,如才なさ 
《複数形で》くどき,求愛,求婚 
…‘に'『あてて手紙』(『小包』)『を出す』 
(人にあてて)…‘の'あて名を書いて出す《+『名』+『to』+『名』〈人〉》 
(…と)〈人〉‘に'『話しかける』,呼びかける《+『名』+『as』+『名』》 
…‘に'演説する,講演する 
(…に)〈抗議など〉'を'向ける《+『名』+『to』+『名』》","Moreover, for your safety, we advise use of a substitute email address.",なお、危険防止の為、サブアド利用をお奨めします。
admit,"【動/他】を認める；を入れる,に入ることを許す；を収容できる",ədˈmɪt,"To agree that you did something bad, or that something bad is true","(場所・会・学校などへ)…'を'『入れる』,‘に'入ることを許す《+『名』+『to』(『into』)+『名』》 
〈事実・要求・誤りなど〉'を'『認める』,受け入れる 
〈場所・建物などが〉〈人・物〉'を'収容できる",I was admitted to school without having to take an entrance examination.,無試験で入学を許可された。
advertise,宣伝する,ˈædvərˌtaɪz,"to show how good a product is, to make people buy","…'を'『広告する』,宣伝する;…'を'言いふらす 
宣伝する 
(…を求めて)広告を出す《+『for』+『名』》",I think I will advertise in the paper.,新聞に広告を出してみよう。
advertisement,"【名/C】広告,宣伝",ədˈvɜrtəzmənt,"poster, TV, film showing advantages of new product","(印刷物・放送などによる)(…の)『広告』,宣伝《+『for』+『名』》({略}ad.,adv.,advt.;また《英話》『advert』)",I put an advertisement for the new publications in the newspaper.,私は新聞に新刊書の広告を出した。
afford,～する余裕がある,əˈfɔrd,to have enough money to pay for something,"《can,could,be able toと共に用いて》〈金・時間〉の『余裕がある』 
《文》〈物・事が〉…'を'『与える』,供給する(provide with)",I can't afford the time to travel.,旅行をする暇がない。
afraid,怖がって,əˈfreɪd,Worried that something bad will happen; scared,"『恐れて』,こわがって 
『気づかって』,心配して 
気が進まない",I'm afraid of discord arising with my husband so I'm turning a blind eye to his mistress.,夫との間に波風が立つのが恐くて、愛人の存在は知らない振りをしています。
after,～後で；～を追って,ˈæftər,"Later than another time, or behind something","《時・順序》…『の後に』,…後に;…の次に 
…『を求めて』,の後を追って 
…『の名をとって』,にならって;…ふうに(の) 
…のことを心配して,に関して 
…『だから』,…の結果 
《前後に同じ名詞を用いて連続・反復など》 
《時》…『した後で(に)』,してから 
《順序・時》『後に』,後ろから,後で 
後の,次の",I can't look after my parents and such either.,私も親の面倒とか見られないですね。
afternoon,午後,ˌæftərˈnun,time after 12:00 and before the evening meal,"『午後』(正午から日没まで) 
午後の",Yumi will use this camera tomorrow afternoon.,由美は明日の午後このカメラを使うでしょう。
again,再び；その上,əˈgɛn,"One more time, once more","『再び』,もう一度(once more);《否定語とともに用いて》二度と(…しない) 
『また元の所へ』,元のように 
さらにそれだけ,…の倍も 
《しばしばthen, and thenに続いて》その上に(besides),さらに(furthermore) 
《しばしばand, and thenに続いて》また一方,ところが","The ""People's Choice"" award, by public polling, was announced again this year and Mel Gibson and Julia Roberts were selected as the most popular male, and female, film actors.",一般投票による「ピープルズ・チョイス賞」が今年も発表され、メル・ギブソンとジュリア・ロバーツが最も人気のある映画男優と女優に選ばれた。
